0.000,2.370,1.963,1.184,0.941,0.535,0.452,0.423,1.529,0.913,0.315,0.693,0.228,0.354,0.132,0.200,0.329,0.488,0.386,0.143,0.090,0.364,0.179,0.368,0.215,0.692,8.574,0.513,0.940,11.235,3.627,15.443,2.672,2.771,8.177,13.986,23.187,11.216,2.940,3.151,5.247,5.484,7.877,12.066,0.777,6.079,5.486,13.301,3.116,8.431,3.798,3.151,2.893,0.710,8.630,1.706,6.058,11.953,0.878,6.753,7.166,2.365,5.903,2.829,3.018,6.111,6.087,3.801,5.893,4.631,11.223,16.419,5.836,8.799,1.469
2.370,0.000,2.414,1.210,1.789,1.933,2.412,2.406,0.865,1.488,2.134,1.713,2.343,2.279,2.458,2.452,2.447,1.923,2.053,2.381,2.383,2.413,2.394,2.086,2.321,1.718,9.523,2.839,3.286,9.190,1.258,16.259,1.009,1.078,10.517,11.869,20.931,9.170,3.859,4.030,5.822,6.036,8.352,9.696,3.118,4.222,6.043,11.164,3.513,6.412,6.019,4.039,3.830,3.065,6.605,2.982,4.199,13.081,3.217,4.428,7.589,0.145,6.959,0.477,0.660,6.581,6.576,1.435,6.968,2.263,8.854,16.798,3.467,9.729,3.823
1.963,2.414,0.000,2.017,1.177,2.109,1.558,2.358,2.107,1.997,2.072,1.998,2.159,2.239,1.908,2.163,2.285,2.010,2.059,2.098,1.886,2.308,2.135,2.081,2.135,2.007,7.169,2.375,2.650,9.807,3.410,13.969,1.887,1.941,9.398,12.609,23.053,9.790,4.829,5.039,7.113,7.348,9.749,11.424,2.542,4.641,7.352,13.452,4.861,7.038,4.188,5.041,4.784,2.450,7.238,3.611,4.623,10.696,2.623,6.560,9.019,2.519,4.564,2.834,2.972,4.385,4.370,3.595,4.570,4.311,10.601,14.712,5.422,7.382,3.036
1.184,1.210,2.017,0.000,0.932,0.723,1.326,1.197,0.349,0.278,0.927,0.505,1.136,1.069,1.286,1.246,1.236,0.717,0.845,1.178,1.211,1.202,1.189,0.877,1.113,0.509,9.134,1.632,2.080,10.293,2.458,15.968,1.755,1.856,9.307,13.005,22.018,10.273,3.059,3.257,5.246,5.475,7.862,10.898,1.912,5.214,5.481,12.162,2.932,7.496,4.939,3.262,3.021,1.863,7.693,1.978,5.191,12.617,2.009,5.569,7.116,1.189,6.489,1.655,1.844,6.403,6.388,2.628,6.489,3.459,10.054,16.734,4.663,9.351,2.616
0.941,1.789,1.177,0.932,0.000,0.942,0.719,1.263,1.144,0.842,0.945,0.821,1.082,1.128,0.946,1.124,1.217,0.846,0.915,1.046,0.892,1.225,1.080,0.942,1.054,0.830,8.210,1.440,1.829,10.329,3.009,15.050,1.818,1.912,8.989,13.093,22.716,10.311,3.665,3.873,5.939,6.174,8.574,11.381,1.680,5.161,6.177,12.939,3.685,7.527,4.239,3.876,3.620,1.599,7.727,2.461,5.140,11.684,1.777,6.208,7.842,1.836,5.560,2.265,2.444,5.532,5.514,3.194,5.559,4.003,10.543,15.868,5.193,8.428,2.323
0.535,1.933,2.109,0.723,0.942,0.000,0.861,0.478,1.070,0.446,0.227,0.229,0.423,0.346,0.662,0.540,0.514,0.101,0.149,0.483,0.596,0.480,0.485,0.171,0.405,0.222,8.979,0.918,1.364,10.965,3.178,15.842,2.392,2.494,8.584,13.692,22.670,10.946,2.723,2.932,5.003,5.239,7.639,11.615,1.196,5.849,5.243,12.771,2.778,8.163,4.330,2.934,2.679,1.154,8.362,1.522,5.827,12.395,1.292,6.261,6.911,1.908,6.311,2.373,2.562,6.412,6.391,3.346,6.304,4.177,10.771,16.745,5.380,9.201,1.900
0.452,2.412,1.558,1.326,0.719,0.861,0.000,0.874,1.639,1.097,0.694,0.924,0.678,0.795,0.362,0.641,0.778,0.777,0.733,0.594,0.362,0.816,0.630,0.734,0.661,0.928,8.142,0.819,1.145,11.036,3.661,15.008,2.537,2.631,8.270,13.805,23.320,11.017,3.391,3.602,5.698,5.936,8.329,12.070,1.012,5.861,5.938,13.485,3.559,8.235,3.624,3.602,3.344,0.924,8.435,2.157,5.840,11.540,1.103,6.838,7.618,2.434,5.472,2.887,3.072,5.660,5.635,3.843,5.463,4.664,11.230,15.968,5.862,8.366,1.615
0.423,2.406,2.358,1.197,1.263,0.478,0.874,0.000,1.541,0.923,0.332,0.706,0.201,0.144,0.530,0.249,0.113,0.515,0.392,0.280,0.512,0.061,0.246,0.357,0.223,0.699,8.981,0.501,0.925,11.433,3.644,15.851,2.856,2.958,8.114,14.164,23.068,11.413,2.518,2.729,4.824,5.062,7.455,12.076,0.762,6.305,5.064,13.139,2.703,8.630,4.001,2.729,2.471,0.740,8.829,1.284,6.283,12.343,0.851,6.698,6.743,2.375,6.310,2.838,3.027,6.534,6.510,3.810,6.299,4.639,11.232,16.842,5.841,9.206,1.452
1.529,0.865,2.107,0.349,1.144,1.070,1.639,1.541,0.000,0.627,1.276,0.854,1.484,1.415,1.627,1.595,1.584,1.065,1.193,1.527,1.552,1.549,1.538,1.226,1.462,0.858,9.270,1.981,2.429,9.991,2.109,16.082,1.507,1.606,9.654,12.692,21.688,9.972,3.230,3.420,5.353,5.578,7.949,10.549,2.261,4.943,5.584,11.849,3.024,7.199,5.261,3.426,3.195,2.211,7.395,2.220,4.920,12.778,2.358,5.227,7.196,0.840,6.643,1.306,1.495,6.472,6.460,2.279,6.645,3.110,9.705,16.785,4.314,9.485,2.965
0.913,1.488,1.997,0.278,0.842,0.446,1.097,0.923,0.627,0.000,0.649,0.227,0.857,0.792,1.020,0.968,0.959,0.439,0.566,0.901,0.946,0.926,0.911,0.599,0.835,0.231,9.043,1.354,1.802,10.540,2.736,15.890,1.980,2.082,9.030,13.260,22.279,10.521,2.936,3.139,5.167,5.399,7.794,11.176,1.633,5.443,5.403,12.408,2.878,7.741,4.688,3.143,2.896,1.585,7.939,1.802,5.420,12.503,1.731,5.841,7.054,1.467,6.387,1.933,2.122,6.371,6.354,2.907,6.384,3.737,10.332,16.708,4.941,9.262,2.338
