DAY_OF_WEEK,COTA_ROUTE,UNIQUE_STOP_NUMBER,STOP_NAME,ON,OFF,TOTAL,LAT,LONG,RANK
SUN,22,00006886,PORT RD & ROHR RD,4,0,4,39.84195,-82.924491,1928
SUN,31,00007137,NORTH STAR RD & PRESIDEN,4,0,4,39.997613,-83.048311,1929
SUN,25,00007657,N STYGLER RD & AGLER RD,1,3,4,40.01942,-82.890421,1930
SUN,11,00004855,JOYCE AVE & E HUDSON ST,2,2,4,40.012758,-82.961637,1932
SUN,151,00005383,CMH AIRPORT BAGGAGE CLAI,2,2,4,39.998615,-82.885096,1932
SUN,4,00007515,E SPRING ST & N HIGH ST,2,2,4,39.966317,-83.001562,1932
SUN,3,00002954,771 HARRISBURG PIKE,1,3,4,39.941764,-83.038865,1934
SUN,7,00001867,AGLER RD & PENDLETON PL,3,1,4,40.021017,-82.926367,1935
SUN,7,00001625,MARTIN LUTHER KING & HAM,1,3,4,39.968725,-82.981698,1936
SUN,33,00004683,W HENDERSON RD & OLENTAN,0,4,4,40.052071,-83.03449,1937
SUN,24,00002558,S HAMILTON RD & SAINT AN,3,1,4,39.969561,-82.875644,1939
SUN,5,00005226,TRABUE RD & BENDELOW DR,2,2,4,39.989474,-83.101848,1939
SUN,22,00006947,ALUM CREEK DR & GROVEPOR,0,4,4,39.867714,-82.935456,1941
SUN,4,00001511,SUMMIT ST & E 5TH AVE,1,3,4,39.986711,-83.001964,1941
SUN,4,00002788,PARSONS AVE & ZIMPFER ST,1,3,4,39.942354,-82.983165,1941
SUN,8,00005914,NEIL AVE & BROADBELT LN,2,2,4,39.969077,-83.009453,1943
SUN,9,00002137,E NAGHTEN ST & N 6TH ST,3,1,4,39.968643,-82.993195,1944
SUN,6,00004965,SULLIVANT AVE & KINGSFOR,4,0,4,39.942628,-83.093669,1945
SUN,8,00005742,153 W 12TH AVE - HALE HA,3,1,4,39.996821,-83.011462,1946
SUN,7,00004159,E LONG ST & NORMANDY AVE,2,2,4,39.965793,-82.993602,1947
SUN,21,00006754,SULLIVANT AVE & EVERGREE,3,1,4,39.942099,-83.133619,1948
SUN,9,00004080,E 5TH AVE & JOYCE AVE,1,3,4,39.985652,-82.967605,1949
SUN,3,00002907,GOODALE BLVD & YARD ST,0,4,4,39.974277,-83.023775,1950
SUN,7,00005685,STELZER RD & MCCUTCHEON,2,1,4,40.033924,-82.91023,1951
SUN,31,00007822,SUNBURY RD & SUNBURY RID,2,2,4,40.013507,-82.934422,1952
SUN,102,00001240,N HIGH ST & HALLIGAN AVE,0,4,4,40.103557,-83.017069,1953
SUN,11,00001265,5211 N HIGH ST,4,0,4,40.068836,-83.019256,1954
SUN,102,00007495,WORTHINGTON WOODS & ALTA,0,4,4,40.118966,-83.000275,1955
SUN,32,00007501,MCCUTCHEON RD & MCCUTCHE,2,2,4,40.034041,-82.927503,1956
SUN,33,00004681,W HENDERSON RD & OLENTAN,3,1,4,40.051873,-83.033145,1957
SUN,6,00004958,SULLIVANT AVE & ATLANTA,2,2,4,39.94208,-83.107094,1958
SUN,8,00004602,RED ROBIN RD & ROCKCASTL,1,3,4,40.065075,-82.973177,1959
SUN,25,00006384,E BROAD ST & MCNAUGHTEN,0,4,4,39.98004,-82.837254,1960
SUN,11,00001811,MCGUFFEY RD & E WEBER RD,2,2,4,40.023647,-82.981474,1961
SUN,9,00003758,SAINT CLAIR AVE & E 2ND,4,0,4,39.98147,-82.980143,1962
SUN,7,00000440,SPRING ST TERMINAL BAY 3,3,1,4,39.965135,-83.001845,1963
SUN,33,00007733,W HENDERSON RD & KNIGHTS,2,1,4,40.052449,-83.042124,1964
SUN,24,00002573,S HAMILTON RD & SHAKER S,1,3,4,39.969665,-82.87548,1965
SUN,8,00002240,S HIGH ST & E ALCOTT RD,4,0,4,39.905899,-82.995271,1966
SUN,9,00004113,N 3RD ST & E GAY ST,2,2,4,39.964539,-82.998485,1968
SUN,34,00006802,2975 MORSE RD,1,3,4,40.058883,-82.94112,1968
SUN,6,00003091,CLEVELAND AVE & WOODLEY,1,3,4,40.076221,-82.951658,1969
SUN,9,00005450,SAINT CLAIR AVE & E 2ND,1,3,4,39.981281,-82.98009,1970
SUN,1,00005771,BETHEL RD & REED RD,4,0,4,40.063945,-83.065962,1971
SUN,32,00007242,CEMETERY RD & BRITTON PK,1,3,4,40.032468,-83.132118,1972
SUN,102,00001268,N HIGH ST & E JEFFREY PL,3,1,4,40.061683,-83.01962,1973
SUN,1,00002016,E LIVINGSTON AVE & MOHAW,2,2,4,39.952732,-82.993101,1974
