0.004,0.007
0.007,0.007
0.009,0.002
0.011,0.013
0.006,0.002
0.041,0.042
0.004,0.005
0.015,0.003
0.005,0.011
0.013,0.011
0.042,0.033
0.029,0.017
0.008,0.010
0.010,0.013
0.005,0.009
0.080,0.059
0.015,0.015
0.001,0.019
0.037,0.043
0.035,0.032
0.004,0.005
0.004,0.011
0.032,0.037
0.051,0.033
0.060,0.074
0.021,0.026
0.007,0.004
0.011,0.012
0.026,0.007
0.005,0.014
0.009,0.001
0.004,0.004
0.005,0.003
0.005,0.005
0.006,0.010
0.007,0.001
0.003,0.008
0.013,0.005
0.003,0.006
0.004,0.004
0.002,0.005
0.003,0.005
0.036,0.036
0.021,0.020
0.031,0.022
0.005,0.005
0.006,0.003
0.013,0.009
0.014,0.014
0.001,0.009
0.005,0.007
0.005,0.005
0.006,0.003
0.016,0.034
0.019,0.008
0.005,0.003
0.005,0.005
0.002,0.009
0.019,0.021
0.002,0.008
0.004,0.010
0.008,0.016
0.007,0.007
0.009,0.009
0.012,0.019
0.004,0.010
0.010,0.003
0.012,0.011
0.006,0.006
0.011,0.013
0.010,0.000
0.006,0.007
0.011,0.015
0.007,0.007
0.004,0.011
