DAY_OF_WEEK,COTA_ROUTE,UNIQUE_STOP_NUMBER,STOP_NAME,ON,OFF,TOTAL,LAT,LONG,RANK
SAT,9,00006517,EASTON WAY & MORSE CROSS,1,10,11,40.048459,-82.919364,1396
SAT,10,00006297,E BROAD ST & OUTERBELT S,2,9,11,39.980789,-82.83085,1397
SAT,10,00007973,W BROAD ST & BELLE ST,4,7,11,39.961247,-83.008319,1398
SAT,8,00001730,HAMILTON AVE & CLINTON S,2,9,11,40.011964,-82.979144,1399
SAT,1,00004667,E LIVINGSTON AVE & MCNAU,10,1,11,39.942655,-82.838066,1400
SAT,23,00004508,N JAMES RD & RUHL AVE,8,2,11,39.977837,-82.913155,1401
SAT,8,00002201,S HIGH ST & W BLENKNER S,7,3,11,39.951762,-82.998658,1402
SAT,4,00007466,S FRONT ST & W TOWN ST,6,5,11,39.958666,-83.001561,1403
SAT,131,00001188,N HIGH ST & CHITTENDEN A,5,5,11,39.99611,-83.007229,1404
SAT,6,00003710,CLEVELAND AVE & COMMUNIT,0,10,11,40.100988,-82.949752,1405
SAT,31,00007903,STELZER RD & MORSE RD,2,9,10,40.058146,-82.910282,1406
SAT,5,00002774,E WHITTIER ST & GILBERT,9,2,10,39.943747,-82.974273,1407
SAT,10,00007266,E BROAD ST & EASTPOINTE,10,0,10,39.98236,-82.81821,1408
SAT,5,00001536,W 5TH AVE & WESTWOOD AVE,3,8,10,39.989185,-83.052636,1409
SAT,32,00003490,W NORTH BROADWAY & RIVER,8,2,10,40.029385,-83.034641,1410
SAT,8,00001740,MCGUFFEY RD & OAKLAND PA,3,8,10,40.031777,-82.980531,1411
SAT,5,00006957,CHATTERTON RD & FLEET RD,10,0,10,39.914511,-82.855999,1412
SAT,11,00001644,E MAIN ST & S PEARL ST,7,3,10,39.956243,-82.9984,1413
SAT,32,00001558,RIDGECLIFF RD & TREMONT,3,8,10,40.022438,-83.060154,1414
SAT,5,00002780,E WHITTIER ST & S 5TH ST,7,4,10,39.944523,-82.991163,1415
SAT,8,00004676,KARL RD & SHANLEY DR,2,8,10,40.055755,-82.976305,1416
SAT,2,00002280,E MAIN ST & BULEN AVE,5,5,10,39.957433,-82.951315,1417
SAT,4,00001425,N 4TH ST & CHITTENDEN AV,3,7,10,39.9951,-82.999019,1418
SAT,11,00007785,E HUDSON ST & CLEVELAND,5,5,10,40.013497,-82.967726,1419
SAT,7,00001660,E 5TH AVE & ALTON AVE,8,2,10,39.984996,-82.926701,1420
SAT,10,00004157,W LONG ST & N HIGH ST,6,5,10,39.964863,-83.001563,1421
SAT,23,00004343,COURTRIGHT RD & E DESHLE,7,4,10,39.93683,-82.897652,1422
SAT,1,00003472,KENNY RD & WEYBRIDGE RD,9,2,10,40.056705,-83.049478,1423
SAT,6,00001095,CLEVELAND AVE & E 3RD AV,2,8,10,39.983326,-82.989347,1424
SAT,22,00003812,W 12TH AVE & N HIGH ST,5,5,10,39.996847,-83.00836,1425
SAT,23,00007927,KIMBERLY PKWY N & SEVILL,8,2,10,39.925967,-82.886511,1426
SAT,3,00006983,STRINGTOWN RD & HOOVER R,9,1,10,39.881156,-83.068831,1427
SAT,8,00007465,E JENKINS AVE & S HIGH S,3,8,10,39.933598,-82.995519,1428
SAT,7,00004167,E SPRING ST & MOUNT VERN,4,6,10,39.96805,-82.98766,1429
SAT,4,00001427,N 4TH ST & E 15TH AVE,3,7,10,39.999464,-82.998722,1430
SAT,22,00003539,FREBIS AVE & THELMA B KE,9,2,10,39.934041,-82.952028,1431
SAT,9,00001894,BRENTNELL AVE & ARGYLE D,8,2,10,40.003993,-82.948836,1432
SAT,23,00004764,S JAMES RD & ASTOR AVE,6,4,10,39.951415,-82.915232,1433
SAT,6,00003091,CLEVELAND AVE & WOODLEY,4,6,10,40.076184,-82.951662,1434
SAT,4,00001515,SUMMIT ST & WARREN ST,0,10,10,39.979055,-83.000542,1435
SAT,6,00002459,W RICH ST & S GREEN ST,4,6,10,39.955152,-83.019592,1436
SAT,9,00006701,STELZER RD AT SAMS CLUB,9,1,10,40.059233,-82.910406,1437
SAT,23,00004547,COURTRIGHT RD & E DESHLE,4,6,10,39.936423,-82.89776,1438
SAT,24,00003933,S HAMILTON RD & DUNDEE A,4,6,10,39.941243,-82.878133,1439
SAT,9,00003759,SAINT CLAIR AVE & LEONAR,8,2,10,39.974955,-82.980636,1440
