0.010,0.000
0.015,0.014
0.004,0.017
0.039,0.051
0.006,0.004
0.059,0.053
0.016,0.017
0.041,0.023
0.005,0.012
0.014,0.009
0.021,0.013
0.054,0.049
0.005,0.005
0.005,0.004
0.005,0.007
0.005,0.007
0.002,0.006
0.007,0.005
0.003,0.006
0.049,0.052
0.008,0.001
0.017,0.003
0.065,0.043
0.012,0.005
0.004,0.006
0.008,0.005
0.053,0.050
0.003,0.006
0.004,0.004
0.003,0.006
0.024,0.025
0.029,0.029
0.036,0.032
0.004,0.005
0.003,0.005
0.002,0.007
0.007,0.003
0.013,0.008
0.005,0.009
0.006,0.005
0.006,0.003
0.021,0.043
0.019,0.008
0.008,0.004
0.006,0.003
0.006,0.005
0.001,0.009
0.007,0.017
0.023,0.025
0.001,0.009
0.005,0.006
0.004,0.007
0.011,0.003
0.005,0.015
0.007,0.028
0.007,0.007
0.010,0.015
0.017,0.017
0.011,0.004
0.014,0.013
0.005,0.012
0.009,0.005
0.006,0.007
0.020,0.016
0.005,0.005
0.010,0.014
0.006,0.024
0.014,0.013
0.007,0.003
0.031,0.031
0.005,0.005
0.005,0.005
0.004,0.005
0.006,0.006
0.006,0.002
