0.000,2.115,1.935,1.090,1.372,0.683,1.617,1.742,0.808,0.911,1.453,1.463,0.544,1.903,0.765,1.508,1.550,0.113,1.897,1.451,0.708,1.399,0.625,0.611,1.686,1.419,1.429,1.469,1.776,1.431,0.884,1.631,0.539,2.114,8.548,12.650,4.207,4.119,6.703,15.415,24.502,12.634,15.886,2.973,3.157,7.658,13.518,7.476,5.367,14.538,3.468,9.848,3.151,2.925,9.506,10.041,1.983,7.460,11.706,8.151,3.036,7.014,3.805,5.934,4.277,4.462,4.228,3.823,5.245,6.490,6.525,5.910,6.077,6.401,12.672
2.115,0.000,2.252,1.510,0.742,1.446,0.927,0.373,1.540,1.205,0.707,0.706,1.571,0.228,1.356,0.607,0.584,2.118,0.218,0.669,1.406,0.735,1.491,1.505,0.429,0.734,0.687,0.646,0.339,0.707,1.231,0.907,1.576,0.010,8.967,10.738,2.255,2.164,8.802,13.462,22.495,10.721,14.595,2.861,3.067,7.752,11.403,5.627,5.359,12.606,2.860,7.936,3.071,2.819,7.600,8.127,1.691,5.609,12.403,6.062,2.002,7.016,1.691,6.305,2.163,2.348,2.114,1.711,3.131,6.326,6.345,6.300,3.962,4.287,10.558
1.935,2.252,0.000,1.046,1.880,1.902,1.334,2.065,1.310,1.765,2.111,1.712,1.786,2.198,1.706,1.948,2.074,2.039,2.110,1.854,1.786,2.029,1.760,1.824,2.018,1.728,1.880,1.946,2.071,2.051,1.783,1.353,1.796,2.259,6.882,11.346,3.353,3.284,7.866,14.151,24.399,11.332,14.061,4.526,4.732,9.412,12.916,6.193,7.053,14.651,4.802,8.587,4.730,4.477,8.243,8.780,3.323,6.180,10.225,7.879,1.559,8.728,3.554,4.216,3.975,4.142,3.941,3.496,4.863,4.587,4.619,4.202,5.646,5.956,12.084
1.090,1.510,1.046,0.000,0.926,0.865,0.677,1.212,0.302,0.721,1.144,0.827,0.773,1.375,0.663,1.029,1.144,1.170,1.314,0.933,0.747,1.059,0.732,0.797,1.154,0.819,0.945,1.013,1.231,1.087,0.738,0.697,0.784,1.514,7.918,11.630,3.269,3.185,7.624,14.409,23.979,11.614,14.803,3.481,3.687,8.367,12.747,6.449,6.006,14.112,3.783,8.834,3.684,3.432,8.490,9.027,2.287,6.433,11.227,7.505,1.946,7.681,3.100,5.256,3.563,3.745,3.520,3.083,4.516,5.611,5.640,5.240,5.339,5.660,11.905
1.372,0.742,1.880,0.926,0.000,0.711,0.662,0.372,0.858,0.462,0.231,0.222,0.829,0.538,0.615,0.137,0.223,1.378,0.525,0.096,0.664,0.152,0.748,0.764,0.314,0.179,0.060,0.102,0.404,0.171,0.488,0.656,0.834,0.742,8.750,11.395,2.909,2.819,8.066,14.137,23.202,11.378,15.015,2.734,2.945,7.667,12.146,6.250,5.280,13.284,2.932,8.590,2.945,2.687,8.251,8.782,1.503,6.233,12.108,6.796,2.182,6.957,2.433,6.080,2.905,3.090,2.856,2.451,3.873,6.290,6.314,6.069,4.705,5.029,11.300
0.683,1.446,1.902,0.865,0.711,0.000,1.119,1.073,0.594,0.277,0.771,0.843,0.181,1.229,0.213,0.842,0.871,0.673,1.231,0.798,0.120,0.719,0.153,0.103,1.019,0.794,0.770,0.802,1.107,0.751,0.244,1.126,0.178,1.445,8.741,12.082,3.605,3.515,7.357,14.831,23.827,12.065,15.544,2.655,2.857,7.510,12.844,6.924,5.159,13.873,3.032,9.277,2.853,2.606,8.937,9.470,1.514,6.907,12.001,7.468,2.657,6.831,3.134,6.087,3.605,3.790,3.555,3.157,4.572,6.476,6.506,6.070,5.403,5.727,11.998
1.617,0.927,1.334,0.677,0.662,1.119,0.000,0.740,0.843,0.851,0.877,0.445,1.138,0.864,0.923,0.675,0.799,1.667,0.775,0.597,1.015,0.809,1.061,1.111,0.700,0.483,0.634,0.688,0.743,0.819,0.884,0.021,1.147,0.934,8.141,11.034,2.617,2.531,8.267,13.801,23.322,11.018,14.435,3.394,3.604,8.328,12.071,5.860,5.940,13.478,3.560,8.232,3.605,3.347,7.890,8.425,2.162,5.843,11.534,6.836,1.557,7.616,2.432,5.471,2.891,3.072,2.849,2.410,3.841,5.633,5.657,5.462,4.663,4.984,11.229
1.742,0.373,2.065,1.212,0.372,1.073,0.740,0.000,1.200,0.833,0.357,0.385,1.199,0.171,0.986,0.235,0.225,1.745,0.160,0.307,1.034,0.369,1.119,1.132,0.061,0.397,0.319,0.273,0.035,0.343,0.859,0.725,1.204,0.372,8.878,11.079,2.590,2.499,8.429,13.811,22.841,11.062,14.825,2.746,2.956,7.673,11.775,5.950,5.279,12.933,2.845,8.275,2.958,2.701,7.937,8.466,1.529,5.933,12.276,6.425,2.088,6.949,2.063,6.208,2.535,2.720,2.486,2.084,3.503,6.325,6.347,6.200,4.334,4.659,10.930
0.808,1.540,1.310,0.302,0.858,0.594,0.843,1.200,0.000,0.519,1.045,0.834,0.480,1.370,0.414,0.984,1.080,0.880,1.328,0.896,0.482,0.963,0.449,0.514,1.140,0.808,0.895,0.958,1.226,0.995,0.525,0.860,0.490,1.543,8.151,11.865,3.459,3.373,7.425,14.637,24.033,11.849,15.099,3.243,3.446,8.104,12.880,6.687,5.753,14.133,3.586,9.065,3.443,3.194,8.722,9.259,2.074,6.671,11.428,7.591,2.231,7.425,3.193,5.495,3.662,3.846,3.616,3.189,4.625,5.892,5.922,5.478,5.453,5.776,12.037
0.911,1.205,1.765,0.721,0.462,0.277,0.851,0.833,0.519,0.000,0.579,0.569,0.367,0.997,0.158,0.599,0.653,0.921,0.987,0.541,0.204,0.510,0.286,0.307,0.776,0.521,0.518,0.561,0.866,0.543,0.034,0.857,0.373,1.204,8.639,11.806,3.332,3.243,7.609,14.557,23.645,11.790,15.284,2.761,2.967,7.656,12.608,6.647,5.290,13.712,3.073,9.002,2.965,2.712,8.661,9.194,1.569,6.630,11.937,7.254,2.400,6.966,2.895,5.976,3.367,3.552,3.318,2.912,4.336,6.305,6.333,5.961,5.167,5.491,11.762
