0.003,0.009
0.025,0.015
0.005,0.003
0.006,0.004
0.073,0.060
0.017,0.013
0.004,0.007
0.051,0.036
0.008,0.006
0.000,0.010
0.015,0.004
0.003,0.004
0.011,0.023
0.037,0.038
0.021,0.040
0.059,0.075
0.011,0.011
0.018,0.013
0.001,0.020
0.035,0.031
0.032,0.016
0.014,0.014
0.010,0.016
0.019,0.020
0.034,0.027
0.009,0.009
0.031,0.040
0.008,0.010
0.033,0.038
0.005,0.013
0.018,0.016
0.005,0.005
0.025,0.007
0.020,0.023
0.007,0.004
0.005,0.012
0.006,0.005
0.005,0.003
0.005,0.008
0.008,0.001
0.005,0.009
0.011,0.005
0.005,0.004
0.004,0.006
0.004,0.004
0.037,0.037
0.028,0.028
0.004,0.004
0.005,0.003
0.015,0.011
0.015,0.016
0.001,0.008
0.005,0.004
0.006,0.003
0.007,0.004
0.018,0.008
0.005,0.003
0.004,0.004
0.002,0.009
0.002,0.012
0.008,0.001
0.005,0.009
0.006,0.010
0.007,0.007
0.008,0.011
0.010,0.013
0.003,0.005
0.005,0.005
0.012,0.010
0.009,0.003
0.004,0.012
0.006,0.007
0.014,0.014
0.005,0.004
0.009,0.000
