0.005,0.012
0.018,0.017
0.007,0.003
0.005,0.005
0.004,0.007
0.005,0.004
0.002,0.009
0.011,0.002
0.017,0.010
0.006,0.005
0.008,0.005
0.049,0.035
0.017,0.013
0.015,0.021
0.006,0.024
0.006,0.002
0.035,0.033
0.012,0.021
0.029,0.028
0.032,0.021
0.096,0.082
0.054,0.045
0.079,0.097
0.049,0.031
0.001,0.028
0.018,0.004
0.007,0.002
0.018,0.005
0.023,0.014
0.019,0.016
0.008,0.002
0.009,0.014
0.013,0.010
0.001,0.011
0.014,0.016
0.008,0.011
0.003,0.005
0.010,0.008
0.004,0.017
0.010,0.000
0.006,0.008
0.006,0.006
0.007,0.005
0.009,0.011
0.009,0.008
0.006,0.002
0.002,0.006
0.004,0.005
0.005,0.003
0.007,0.006
0.013,0.013
0.006,0.004
0.005,0.010
0.006,0.013
0.006,0.002
0.018,0.008
0.007,0.014
0.006,0.007
0.006,0.009
0.006,0.007
0.010,0.006
0.007,0.005
0.004,0.010
0.011,0.005
0.008,0.003
0.001,0.009
0.006,0.007
0.010,0.004
0.010,0.003
0.022,0.025
0.005,0.006
0.007,0.017
0.005,0.015
0.016,0.017
0.007,0.028
